station_id,station_name,lon,lat,sample_date,parameter,fraction,value,unit
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-04-27,"Phosphor, total-P",Total,0.07879739755704727,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-05-29,"Phosphor, total-P",Total,0.15,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-05-29,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.29,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-05-29,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.053,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-05-29,Suspenderede stoffer,Total,4.4,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-05-29,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,0.82,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-05-29,"Nitrogen,total N",Total,1.8,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-05-29,"Glødetab,susp.stof",Total,3.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-06-27,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,0.63,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-06-27,"Nitrogen,total N",Total,1.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-06-27,"Glødetab,susp.stof",Total,1.5,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-06-27,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.067,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-06-27,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.064,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-06-27,"Phosphor, total-P",Total,0.15,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-06-27,Suspenderede stoffer,Total,5.3,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-07-25,Suspenderede stoffer,Total,4.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-07-25,"Phosphor, total-P",Total,0.19,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-07-25,"Nitrogen,total N",Total,2.8,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-07-25,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,1.7,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-07-25,"Glødetab,susp.stof",Total,1.7,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-07-25,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.088,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-07-25,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.12,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-08-22,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.061,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-08-22,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.058,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-08-22,"Glødetab,susp.stof",Total,1.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-08-22,Suspenderede stoffer,Total,3.8,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-08-22,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,4.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-08-22,"Nitrogen,total N",Total,5.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-08-22,"Phosphor, total-P",Total,0.094,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-09-27,"Glødetab,susp.stof",Total,2.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-09-27,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.12,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-09-27,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.046,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-09-27,Suspenderede stoffer,Total,7.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-09-27,"Nitrogen,total N",Total,2.9,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-09-27,"Phosphor, total-P",Total,0.11,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-09-27,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,2.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-09,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.041,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-09,"Glødetab,susp.stof",Total,2.6,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-09,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.11,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-09,"Nitrogen,total N",Total,6.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-09,Suspenderede stoffer,Total,6.4,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-09,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,4.7,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-09,"Phosphor, total-P",Total,0.094,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-10-26,"Phosphor, total-P",Total,0.41,mg/l
