vassnr,station_name,lon,lat,sample_date,par_unit,value
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-06-26,TOC_mg/l,8.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-03,N-TOT_µg/l,734.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-03,P-TOT_µg/l,9.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-03,TOC_mg/l,8.2
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-10,N-TOT_µg/l,931.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-10,P-TOT_µg/l,15.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-10,TOC_mg/l,7.8
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-17,N-TOT_µg/l,884.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-17,P-TOT_µg/l,11.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-17,TOC_mg/l,7.7
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-24,N-TOT_µg/l,867.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-24,P-TOT_µg/l,17.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-07-24,TOC_mg/l,7.9
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-08-01,N-TOT_µg/l,773.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-08-01,P-TOT_µg/l,34.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-08-01,TOC_mg/l,7.9
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-08-07,N-TOT_µg/l,743.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-08-07,P-TOT_µg/l,10.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-08-07,TOC_mg/l,7.2
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-08-14,N-TOT_µg/l,771.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-08-14,P-TOT_µg/l,18.0
1,"Tista, utløp Femsjøen (FEMU)",11.444333555304187,59.12782790483881,2000-08-14,TOC_mg/l,7.0
