mvm_id,date,flow_m3/s,N-TOT_µg/l,P-TOT_µg/l,TOC_mg/l,N-NH4_µg/l,N-NO3_µg/l,SRP_µg/l,DOC_mg/l,N-TON_µg/l
35,2016-03-30,14.1,540.4777190596017,11.531466562962546,8.969547227222192,29.26522221689206,243.72869358560263,3.7018329806152614,8.700460810405525,267.48380325710696
35,2016-03-31,14.1,540.4777190596017,11.531466562962546,8.969547227222192,29.26522221689206,243.72869358560263,3.7018329806152614,8.700460810405525,267.48380325710696
35,2016-04-01,13.9,540.0675722802795,11.522356846018713,8.962460048617707,29.243014018079922,243.54373769347728,3.698908578030159,8.693586247159176,267.2808205687223
35,2016-04-02,13.7,539.6517991799333,11.513122453347439,8.955275875864006,29.22050117112185,243.35624460911532,3.6959441520259015,8.686617599588086,267.0750533996961
35,2016-04-03,13.4,539.0172360014024,11.49902925798041,8.944311653930741,29.18614150785455,243.0700880312457,3.6914199525125904,8.67598230431282,266.76100646230213
35,2016-04-04,13.2,538.586676992637,11.489467237288464,8.93687259601875,29.162828048992772,242.87592723420028,3.688350351316116,8.668766418138187,266.5479217094439
35,2016-04-05,13.1,538.3690758358046,11.484634786097791,8.933113047577875,29.15104560915338,242.777799885362,3.686799037170845,8.665119656150537,266.4402303412892
35,2016-04-06,13.2,538.586676992637,11.489467237288464,8.93687259601875,29.162828048992772,242.87592723420028,3.688350351316116,8.668766418138187,266.5479217094439
35,2016-04-07,13.6,539.4417527095052,11.50845739579584,8.951646554835065,29.20912779454002,243.2615240498316,3.694446574609648,8.683097158190012,266.9711008651336
35,2016-04-08,14.0,540.2733391613571,11.526927072065641,8.96601559345458,29.25415566793385,243.63652836983576,3.700375712623752,8.697035125650942,267.3826551235875
35,2016-04-09,14.2,540.6807310619704,11.535975741200561,8.97305527860481,29.27621469845514,243.8202419480506,3.7032805176328485,8.703863620246667,267.5842744154646
35,2016-04-10,14.3,540.8823938606272,11.540455020538436,8.976540069493232,29.287134124746828,243.91118188642025,3.7047184565014044,8.707243867408435,267.6840778494601
35,2016-04-11,14.1,540.4777190596017,11.531466562962546,8.969547227222192,29.26522221689206,243.72869358560263,3.7018329806152614,8.700460810405525,267.48380325710696
35,2016-04-12,13.8,539.8603989233696,11.51775545334959,8.958880257040367,29.231796211843736,243.4503127661496,3.697431438323226,8.690113849329155,267.17828994537626
35,2016-04-13,13.4,539.0172360014024,11.49902925798041,8.944311653930741,29.18614150785455,243.0700880312457,3.6914199525125904,8.67598230431282,266.76100646230213
35,2016-04-14,12.9,537.9291142077307,11.4748644345196,8.925511914290984,29.127223027095987,242.57939897250878,3.6836625575646402,8.657746556862255,266.2224922081259
35,2016-04-15,12.6,537.2569093188861,11.459937224873398,8.913898853491816,29.09082517987012,242.27626784683537,3.6788706226728247,8.646481887887061,265.88981629218057
35,2016-04-16,12.5,537.0294699507637,11.454886802635372,8.909969729952556,29.078510030856105,242.1737039517707,3.67724933543198,8.642670638053978,265.77725596813684
35,2016-04-17,12.6,537.2569093188861,11.459937224873398,8.913898853491816,29.09082517987012,242.27626784683537,3.6788706226728247,8.646481887887061,265.88981629218057
35,2016-04-18,12.7,537.482645912953,11.464949922785188,8.917798628614763,29.103048128855594,242.3780638751011,3.680479799645277,8.65026466975632,266.0015339089963
35,2016-04-19,12.6,537.2569093188861,11.459937224873398,8.913898853491816,29.09082517987012,242.27626784683537,3.6788706226728247,8.646481887887061,265.88981629218057
35,2016-04-20,12.4,536.8003011868097,11.449798066941298,8.906010799673824,29.06610124032548,242.07036018480414,3.6756157488002104,8.638830475683609,265.66383976168015
35,2016-04-21,12.1,536.1021426520218,11.434295874431545,8.893950419157035,29.028298082225387,241.75552524971087,3.670639232830527,8.627131906582324,265.3183193200856
35,2016-04-22,11.8,535.3873977985571,11.41842625082132,8.881604188172956,28.989596825490104,241.4332107060418,3.6655447640784806,8.615156062527767,264.96459026702524
35,2016-04-23,11.4,534.407158051857,11.39666320469397,8.86467300462256,28.936519828971317,240.99117110951673,3.658558388020154,8.598732814483883,264.47946711336897
35,2016-04-24,10.9,533.1350038242999,11.368421586572605,8.842701640047823,28.86763655247216,240.4174925340865,3.649492259890069,8.577420590846387,263.8498747377413
35,2016-04-25,10.6,532.344919991459,11.350883244837545,8.829057196900273,28.82485591948271,240.06120384056467,3.6438620990162844,8.564185480993265,263.4588602314117
35,2016-04-26,10.2,531.257877494419,11.326754737871747,8.810285757067792,28.765995879349262,239.5710014911753,3.6361163623945543,8.545977184355758,262.9208801238944
35,2016-04-27,9.76,530.0144909571387,11.299158429124931,8.788816454176292,28.698670285653538,239.01029571984301,3.627257391568561,8.525151960551003,262.30552495164216
35,2016-04-28,9.36,528.8371901910514,11.273031307599316,8.768490154837641,28.634923035173703,238.4793913595762,3.6188700594262024,8.505435450192511,261.7228757963015
35,2016-04-29,9.15,528.1998978721476,11.258889261205683,8.7574879718987,28.600415597268054,238.1920040745114,3.614330177749618,8.494763332741739,261.40747820036813
35,2016-04-30,9.1,528.0461212542054,11.255476935032528,8.75483326195097,28.592089061802962,238.12265843291814,3.613234752332614,8.49218826409244,261.33137375948434
35,2016-05-01,9.35,528.8071513685381,11.272364705442191,8.767971553815574,28.63329652443148,238.46584533777028,3.6186560667101224,8.504932407201107,261.70800950633634
35,2016-05-02,9.22,528.4138537585151,11.263637042170892,8.761181634692536,28.612000656815095,238.2884875868383,3.615854311047476,8.498346185651759,261.5133655148617
35,2016-05-03,9.08,527.9843864952068,11.254107042959163,8.753767518002975,28.58874631264441,238.0948191129444,3.612794989390981,8.491154492462886,261.300821069618
35,2016-05-04,8.87,527.3282823921038,11.239548522875078,8.742441331885868,28.5532202739242,237.7989486445305,3.608121411273059,8.480168091929292,260.9761134736491
35,2016-05-05,8.64,526.5925978883207,11.22322504988599,8.729742057248197,28.513385198905386,237.467191355238,3.602881247731045,8.467849795530752,260.61202133417737
35,2016-05-06,8.36,525.6715333899399,11.202789658415186,8.713843812555387,28.463512361838013,237.05183686608524,3.596321075553,8.452428498178726,260.15618416201664
35,2016-05-07,8.07,524.6862533741394,11.180931162411053,8.696838432752346,28.410162450099868,236.6075243577271,3.5893040581621123,8.435933279769776,259.6685665663124
35,2016-05-08,7.79,523.7026064330763,11.159110576401506,8.679862552309137,28.356900964384483,236.16394828522607,3.582299210642896,8.419466675739862,259.1817571834658
35,2016-05-09,7.49,522.6108334073704,11.134893360787153,8.66102216023458,28.297784780532748,235.67161270160514,3.574524996758617,8.401191495427543,258.6414359252325
35,2016-05-10,7.2,521.5153584323909,11.110596116752445,8.642119515865373,28.23846814740382,235.1776077221362,3.566725092139839,8.382855930389411,258.09928256285093
35,2016-05-11,6.89,520.2971344231306,11.083578802552577,8.621100734591499,28.17250502795648,234.62824900520658,3.5580519902228676,8.362467712553753,257.4963803899675
35,2016-05-12,6.64,519.276280339497,11.060940683111577,8.60348886263157,28.11722888880214,234.16789435343952,3.5507846980091466,8.345384196752622,256.9911570972554
35,2016-05-13,6.31,517.8715414756216,11.029792649035416,8.579256508183198,28.041166558093025,233.53442667096596,3.540785551829874,8.321878812937701,256.2959482465626
35,2016-05-14,6.04,516.6694693408929,11.003141206249417,8.558522394276096,27.9760780134537,232.99235164981087,3.5322299020044583,8.301766722447812,255.70103967762827
35,2016-05-15,5.81,515.604650035695,10.9795349553654,8.54015736667871,27.918421291467695,232.51217085972732,3.5246518201018664,8.283952645678347,255.17405788450006
35,2016-05-16,5.58,514.4991443686923,10.955028834769834,8.521092272615345,27.85856152691873,232.01364253475055,3.516784861900819,8.265459504436885,254.62694030702306
35,2016-05-17,5.42,513.7043515786767,10.937411727182019,8.507386647963331,27.815525918241537,231.65523033467164,3.5111294156021597,8.25216504852443,254.2335953257635
35,2016-05-18,5.28,512.9904680785675,10.921588980914747,8.495076990591604,27.776871301166814,231.33330421872245,3.5060499954211894,8.240224680873856,253.8802925586782
35,2016-05-19,5.1,512.0458096503286,10.90065265310429,8.478789113938829,27.725720924663648,230.90731003528063,3.499329012590554,8.224425440520664,253.41277869038433
35,2016-05-20,4.97,511.34371460281096,10.885093248913996,8.466684337117325,27.687704616389677,230.59069992783324,3.494334130519322,8.212683807003804,253.06531005858804
35,2016-05-21,4.86,510.7359170051343,10.871624315458039,8.456205890115731,27.654794227798916,230.3166133018314,3.4900103316504842,8.20251971341226,252.76450947550398
35,2016-05-22,4.81,510.45532746767947,10.8654066091433,8.4513686923456,27.639601159008517,230.1900813117308,3.488014322714933,8.197827631575231,252.62564499694014
35,2016-05-23,4.75,510.11495144290694,10.857864256165428,8.445500958044954,27.621170834036743,230.0365885757305,3.4855930755255597,8.192135929303605,252.45719203313973
35,2016-05-24,4.68,509.7126625240986,10.848950248815887,8.438566116981523,27.599388114436753,229.85517618967373,3.48273149966131,8.185409133472078,252.25809821998814
35,2016-05-25,4.72,509.94323389808386,10.854059265309239,8.442540784580723,27.61187285202829,229.95915246432466,3.484371596838051,8.189264561043302,252.37220858173092
35,2016-05-26,4.66,509.5966761998411,10.846380251649737,8.436566733383435,27.5931078082672,229.8028720996286,3.4819064788178817,8.183469731381932,252.20069629194535
35,2016-05-27,4.58,509.12796789311204,10.835994969901666,8.428487284929489,27.567728681121686,229.5915078578786,3.4785725942440435,8.175632666381604,251.96873135411172
35,2016-05-28,4.52,508.77132141003653,10.828092931529923,8.422339728896443,27.548417360391873,229.43067795069365,3.476035880800104,8.169669537029549,251.79222609895103
35,2016-05-29,4.54,508.89069907205345,10.830737897588044,8.42439743546945,27.554881297171242,229.48451136617155,3.4768849681675347,8.171665512405365,251.85130640871068
35,2016-05-30,4.51,508.7114448985496,10.826766299787694,8.42130764806788,27.545175229675944,229.40367660835048,3.475610005295917,8.168668418625844,251.7625930605232
35,2016-05-31,4.43,508.2278562915924,10.816052082907248,8.412972300499963,27.51899037959779,229.18560208788435,3.472170525920684,8.160583131484964,251.52326382411027
35,2016-06-01,4.37,507.8597074604928,10.807895789015275,8.406626943303895,27.499056241758094,229.01958519119324,3.469552191334702,8.154428135004778,251.3410660275415
35,2016-06-02,4.28,507.2984104580869,10.795460787193019,8.396952878704152,27.468663718762574,228.76646803152948,3.465560305340991,8.145044292343027,251.06327870779484
35,2016-06-03,4.17,506.5970026438006,10.779922557083948,8.384864597016387,27.4306846220748,228.45016783224617,3.460572220576223,8.133318659105894,250.7161501894796
35,2016-06-04,4.05,505.81156265648303,10.762523816926098,8.371328897681215,27.388155439175502,228.0959732831501,3.4549868746199377,8.120189030750778,250.32743393415745
35,2016-06-05,3.92,504.9354037315286,10.743116816745758,8.35623083703636,27.340714102128864,227.7008689844492,3.4487568367552712,8.105543911925269,249.89382064495055
35,2016-06-06,3.81,504.1722765225608,10.726214605232784,8.343081430630846,27.299393088213513,227.35673639373857,3.4433308864927934,8.09278898771192,249.51614704060876
35,2016-06-07,3.7,503.3879954090546,10.708844957886704,8.329568377470103,27.256926654801223,227.00306443935844,3.43775487991494,8.079681326146,249.12800431489492
35,2016-06-08,3.51,501.97980757786144,10.677660298468918,8.305307678882885,27.18067757301725,226.36804144337438,3.427743976263466,8.056148448516398,248.4310885614698
35,2016-06-09,3.37,500.8952235563866,10.65364437009197,8.286624040058868,27.121950651847254,225.87894774475194,3.4200343796357977,8.038025318857102,247.8943251597874
35,2016-06-10,3.21,499.60218214956683,10.625015361617137,8.264351580107677,27.051936398212405,225.29585008554665,3.41084389140121,8.016421032704447,247.25439566580775
35,2016-06-11,3.11,498.7626731580335,10.606429564057144,8.249892425596855,27.006479543426515,224.91727309237143,3.4048774761145717,8.002395652828948,246.83892052223558
35,2016-06-12,3.01,497.8972049873072,10.587270402937145,8.234987217664168,26.959617078157784,224.52698979455468,3.3987269995791123,7.9879376011342424,246.4105981145947
35,2016-06-13,2.92,497.0946817596445,10.569505896330394,8.22116701043442,26.916162889828563,224.16509154981176,3.3930242352271396,7.974532000121388,246.01342732000418
35,2016-06-14,2.82,496.17504541341077,10.549150442354655,8.205331136014506,26.866367382849866,223.7503810865731,3.3864897245947447,7.95917120193407,245.55829694398778
35,2016-06-15,2.73,495.320578415023,10.530238849929313,8.190618543648181,26.82010059755421,223.36505877284034,3.3804187225956634,7.944899987338736,245.1354190446285
35,2016-06-16,2.7,495.0298203880384,10.523803918489678,8.185612381322146,26.80435693602852,223.23394129737844,3.3783529800206686,7.940044009882482,244.99152215463144
35,2016-06-17,2.61,494.13882223349964,10.504085697266119,8.170272265607613,26.7561120998995,222.83214524078844,3.3720230339339423,7.925164097639384,244.5505648928117
35,2016-06-18,2.54,493.4254768333395,10.488300069132857,8.157991579552844,26.71748661929799,222.51046178127626,3.3669555294214524,7.913251832166258,244.19752843276524
35,2016-06-19,2.49,492.9044555100187,10.476770974295428,8.149022334999755,26.68927490164707,222.275506958931,3.363254457812494,7.904551664949762,243.9396736494406
35,2016-06-20,2.46,492.587066962582,10.469748085185932,8.143558766508017,26.67208927855424,222.13238043715623,3.360999968985528,7.899252003512776,243.78259724687157
35,2016-06-21,2.6,494.03803292000873,10.501855272689115,8.16853707033192,26.750654665573563,222.78669425023276,3.3713070227297433,7.923480958221963,244.5006840042024
35,2016-06-22,2.55,493.5285146585237,10.490580136456298,8.159765394780305,26.723065803683255,222.5569267392874,3.3676874769469345,7.914972432936895,244.24852211555304
35,2016-06-23,2.5,493.00944746581854,10.479094182977764,8.150829712367537,26.694959896252982,222.32285313310564,3.364000254582937,7.906304820996511,243.99163443645995
35,2016-06-24,2.51,493.1140425211853,10.481408629436505,8.15263027309901,26.70062339990938,222.37002032483448,3.3647432385031566,7.90805136490604,244.04339879644144
35,2016-06-25,2.46,492.587066962582,10.469748085185932,8.143558766508017,26.67208927855424,222.13238043715623,3.360999968985528,7.899252003512776,243.78259724687157
35,2016-06-26,2.5,493.00944746581854,10.479094182977764,8.150829712367537,26.694959896252982,222.32285313310564,3.364000254582937,7.906304820996511,243.99163443645995
35,2016-06-27,2.59,493.93687588437194,10.4996167293524,8.166795559004777,26.745177320213493,222.7410774351943,3.3705884052401864,7.921791692234634,244.45062112896414
35,2016-06-28,2.56,493.6311705938643,10.492851772575284,8.161532650888866,26.728624309896706,222.60321948388545,3.3684167178860034,7.9166866713622,244.29932680008213
35,2016-06-29,2.47,492.69326842339683,10.47209799519248,8.145386916365648,26.677839764172614,222.180272038213,3.3617543374187377,7.9010253088746785,243.8351566210112
35,2016-06-30,2.47,492.69326842339683,10.47209799519248,8.145386916365648,26.677839764172614,222.180272038213,3.3617543374187377,7.9010253088746785,243.8351566210112
35,2016-07-01,2.48,492.7990635446089,10.474438934826535,8.147208087656894,26.683568247739192,222.2279804002258,3.3625058261817378,7.9027918450271875,243.88751489664392
35,2016-07-02,2.89,496.82196242077447,10.56346929901322,8.21647073544729,26.901395968319267,224.0421086296389,3.3910863659268737,7.969976613383871,245.8784578228163
35,2016-07-03,3.19,499.43628052415875,10.621342382038652,8.261494119395595,27.04295333052525,225.22103666586526,3.4096647909922098,8.013649295813726,247.1722905277682
35,2016-07-04,3.5,501.90370793834774,10.675975155732322,8.303996690441096,27.17655700933357,226.33372427345796,3.427203011510603,8.054876789727864,248.3934266555562
35,2016-07-05,3.62,502.8036174291691,10.695903331354756,8.319500191468068,27.225284367178777,226.73953890153328,3.433600357187307,8.069915185724026,248.838794160457
35,2016-07-06,3.64,502.9508498461614,10.699163880256863,8.322036797659825,27.233256554095764,226.80593343248532,3.434647059043903,8.07237569373003,248.91165985958034
35,2016-07-07,3.68,503.24303079391444,10.705634516029804,8.327070752579028,27.24907726244691,226.93769257476848,3.4367242634288813,8.077258630001657,249.05626095669905
35,2016-07-08,3.68,503.24303079391444,10.705634516029804,8.327070752579028,27.24907726244691,226.93769257476848,3.4367242634288813,8.077258630001657,249.05626095669905
35,2016-07-09,3.64,502.9508498461614,10.699163880256863,8.322036797659825,27.233256554095764,226.80593343248532,3.434647059043903,8.07237569373003,248.91165985958034
35,2016-07-10,3.56,502.35725311983333,10.686018569368873,8.311810153293312,27.201115099433327,226.53825069641184,3.430427149536304,8.062455848694512,248.61788732398819
35,2016-07-11,3.67,503.17026851442716,10.704023109039928,8.32581712762188,27.245137406643217,226.90488038899954,3.4362069693355637,8.076042613793224,249.0202507187844
35,2016-07-12,3.77,503.88959397630543,10.719953844446884,8.33821075018609,27.284086689371772,227.22926056028857,3.4413210562049943,8.088064427680507,249.37624672664512
