station_id,station_name,lon,lat,sample_date,depth1,depth2,parameter,value,unit
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-10-16,"0,50","0,50",NO2+NO3-N,315.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-10-16,"0,50","0,50",PO4-P,16.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-10-16,"0,50","0,50",Si,2.6,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-10-16,"0,50","0,50",TOC,15.1,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-10-16,"0,50","0,50",Tot-N_ps,879.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-10-16,"0,50","0,50",Tot-P,38.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-11-15,"0,50","0,50",NH4-N,21.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-11-15,"0,50","0,50",NO2+NO3-N,281.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-11-15,"0,50","0,50",PO4-P,12.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-11-15,"0,50","0,50",Si,2.32,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-11-15,"0,50","0,50",TOC,12.3,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-11-15,"0,50","0,50",Tot-N_ps,1028.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-11-15,"0,50","0,50",Tot-P,32.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-12-15,"0,50","0,50",NH4-N,30.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-12-15,"0,50","0,50",NO2+NO3-N,319.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-12-15,"0,50","0,50",PO4-P,20.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-12-15,"0,50","0,50",Si,3.11,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-12-15,"0,50","0,50",TOC,12.4,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-12-15,"0,50","0,50",Tot-N_ps,534.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2000-12-15,"0,50","0,50",Tot-P,74.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-01-15,"0,50","0,50",NH4-N,77.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-01-15,"0,50","0,50",NO2+NO3-N,320.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-01-15,"0,50","0,50",PO4-P,14.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-01-15,"0,50","0,50",Si,2.05,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-01-15,"0,50","0,50",TOC,11.1,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-01-15,"0,50","0,50",Tot-N_ps,860.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-01-15,"0,50","0,50",Tot-P,33.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-02-15,"0,50","0,50",NH4-N,60.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-02-15,"0,50","0,50",NO2+NO3-N,363.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-02-15,"0,50","0,50",PO4-P,13.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-02-15,"0,50","0,50",Si,2.3,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-02-15,"0,50","0,50",TOC,9.1,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-02-15,"0,50","0,50",Tot-N_ps,920.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-02-15,"0,50","0,50",Tot-P,27.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-03-15,"0,50","0,50",NH4-N,102.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-03-15,"0,50","0,50",NO2+NO3-N,106.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-03-15,"0,50","0,50",PO4-P,17.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-03-15,"0,50","0,50",Si,2.98,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-03-15,"0,50","0,50",TOC,9.3,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-03-15,"0,50","0,50",Tot-N_ps,711.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-03-15,"0,50","0,50",Tot-P,39.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-04-17,"0,50","0,50",NH4-N,30.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-04-17,"0,50","0,50",NO2+NO3-N,355.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-04-17,"0,50","0,50",PO4-P,6.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-04-17,"0,50","0,50",Si,1.9,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-04-17,"0,50","0,50",TOC,10.0,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-04-17,"0,50","0,50",Tot-N_ps,674.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-04-17,"0,50","0,50",Tot-P,27.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-05-15,"0,50","0,50",NH4-N,27.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-05-15,"0,50","0,50",NO2+NO3-N,262.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-05-15,"0,50","0,50",PO4-P,9.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-05-15,"0,50","0,50",Si,2.39,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-05-15,"0,50","0,50",TOC,9.1,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-05-15,"0,50","0,50",Tot-N_ps,671.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-05-15,"0,50","0,50",Tot-P,63.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-06-28,"0,50","0,50",NH4-N,22.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-06-28,"0,50","0,50",NO2+NO3-N,117.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-06-28,"0,50","0,50",PO4-P,3.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-06-28,"0,50","0,50",Si,1.35,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-06-28,"0,50","0,50",TOC,10.4,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-06-28,"0,50","0,50",Tot-N_ps,682.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-06-28,"0,50","0,50",Tot-P,42.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-07-13,"0,50","0,50",NH4-N,90.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-07-13,"0,50","0,50",NO2+NO3-N,282.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-07-13,"0,50","0,50",PO4-P,11.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-07-13,"0,50","0,50",Si,1.56,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-07-13,"0,50","0,50",TOC,7.7,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-07-13,"0,50","0,50",Tot-N_ps,740.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-07-13,"0,50","0,50",Tot-P,47.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-08-15,"0,50","0,50",NH4-N,47.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-08-15,"0,50","0,50",NO2+NO3-N,227.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-08-15,"0,50","0,50",PO4-P,8.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-08-15,"0,50","0,50",Si,1.88,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-08-15,"0,50","0,50",TOC,12.2,mg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-08-15,"0,50","0,50",Tot-N_ps,695.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-08-15,"0,50","0,50",Tot-P,46.0,µg/l
31,Bäveån Uddevalla,11.939269389911125,58.34711670271321,2001-09-17,"0,50","0,50",NH4-N,37.0,µg/l
